data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
100,34,3,fedyogi,0.004617529383,2.87E-06,8.71E-05
100,34,5,fedyogi,2.97E-02,2.96E-05,0.0001251238188
100,34,10,fedavg,1.72E-02,6.71E-05,0.0001605658845
100,34,10,fedyogi,6.86E-02,6.76E-05,0.0001500184934
100,34,20,fedyogi,0.04083277863,0.0001468278389,0.0002051898424
100,35,3,fedavg,0.02226748145,2.10E-05,0.0001258049799
100,35,3,fedyogi,0.004617529383,1.27E-05,8.71E-05
100,35,5,fedyogi,2.97E-02,4.34E-05,0.0001251238188
100,35,10,fedavg,1.72E-02,9.19E-05,0.0001605658845
100,35,10,fedyogi,6.08E-02,8.84E-05,0.0001502584341
100,35,20,fedyogi,0.04083277863,0.000184034706,0.0002051898424
100,36,3,fedavg,0.02226748145,1.39E-05,0.0001258049799
100,36,3,fedyogi,0.004617529383,7.87E-06,8.71E-05
100,36,5,fedyogi,2.97E-02,3.01E-05,0.0001251238188
100,36,10,fedavg,1.72E-02,6.53E-05,0.0001605658845
100,36,10,fedyogi,6.01E-02,6.64E-05,0.0001502817531
100,36,20,fedyogi,0.04083277863,0.0001402697208,0.0002051898424
100,37,3,fedavg,0.02226748145,9.63E-06,0.0001258049799
100,37,3,fedyogi,0.004617529383,3.87E-06,8.71E-05
100,37,5,fedyogi,2.97E-02,2.05E-05,0.0001251238188
100,37,10,fedavg,1.72E-02,5.31E-05,0.0001605658845
100,37,10,fedyogi,7.46E-02,4.92E-05,0.0001498370256
100,37,20,fedyogi,0.04083277863,0.0001097303865,0.0002051898424
100,38,3,fedavg,0.02226748145,2.82E-05,0.0001258049799
100,38,3,fedyogi,0.004617529383,1.12E-05,8.71E-05
100,38,5,fedyogi,2.97E-02,5.18E-05,0.0001251238188
100,38,10,fedavg,1.72E-02,1.08E-04,0.0001605658845
100,38,10,fedyogi,6.02E-02,0.0001087533919,0.0001502790624
100,38,20,fedyogi,0.04083277863,0.0002249351878,0.0002051898424
100,39,3,fedavg,0.02226748145,1.74E-05,0.0001258049799
100,39,3,fedyogi,0.004617529383,1.45E-05,8.71E-05
100,39,5,fedyogi,2.97E-02,3.49E-05,0.0001251238188
100,39,10,fedavg,1.72E-02,7.79E-05,0.0001605658845
100,39,10,fedyogi,7.21E-02,7.58E-05,0.0001499113918
100,39,20,fedyogi,0.04083277863,0.000161054041,0.0002051898424
100,40,3,fedavg,0.02226748145,1.62E-05,0.0001258049799
100,40,3,fedyogi,0.004617529383,1.17E-05,8.71E-05
100,40,5,fedyogi,2.97E-02,3.05E-05,0.0001251238188
100,40,10,fedavg,1.72E-02,7.20E-05,0.0001605658845
100,40,10,fedyogi,6.00E-02,6.98E-05,0.000150285251
100,40,20,fedyogi,0.04083277863,0.0001452667199,0.0002051898424
100,41,3,fedavg,0.02226748145,6.73E-06,0.0001258049799
100,41,3,fedyogi,0.004617529383,5.16E-06,8.71E-05
100,41,5,fedyogi,2.97E-02,1.53E-05,0.0001251238188
100,41,10,fedavg,1.72E-02,4.17E-05,0.0001605658845
100,41,10,fedyogi,6.52E-02,3.92E-05,0.0001501243496
100,41,20,fedyogi,4.08E-02,8.58E-05,0.0002051898424
100,42,3,fedavg,2.23E-02,1.76E-05,0.0001258049799
100,42,3,fedyogi,0.004617529383,7.20E-06,8.71E-05
100,42,5,fedyogi,2.97E-02,3.50E-05,0.0001251238188
100,42,10,fedavg,1.72E-02,8.19E-05,0.0001605658845
100,42,10,fedyogi,6.08E-02,8.07E-05,0.0001502584341
100,42,20,fedyogi,0.04083277863,0.0001676565998,0.0002051898424
100,43,3,fedavg,0.02226748145,1.68E-05,0.0001258049799
100,43,3,fedyogi,0.004617529383,8.70E-06,8.71E-05
100,43,5,fedyogi,2.97E-02,3.03E-05,0.0001251238188
100,43,10,fedavg,1.72E-02,6.93E-05,0.0001605658845
100,43,10,fedyogi,6.89E-02,6.73E-05,0.00015000942
100,43,20,fedyogi,4.08E-02,0.0001423177989,0.0002051898424
100,44,3,fedavg,0.02226748145,7.41E-06,0.0001258049799
100,44,3,fedyogi,0.004617529383,3.63E-06,8.71E-05
100,44,5,fedyogi,2.97E-02,1.74E-05,0.0001251238188
100,44,10,fedavg,1.72E-02,4.08E-05,0.0001605658845
100,44,10,fedyogi,6.68E-02,4.05E-05,0.0001500740679
100,44,20,fedyogi,4.08E-02,9.05E-05,0.0002051898424
100,45,3,fedavg,2.23E-02,8.42E-06,0.0001258049799
100,45,5,fedyogi,0.02965434505,1.72E-05,0.0001251238188
100,45,10,fedavg,1.72E-02,5.11E-05,0.0001605658845
100,45,10,fedyogi,6.68E-02,4.25E-05,0.0001500740679
100,45,20,fedyogi,4.08E-02,9.52E-05,0.0002051898424
100,46,3,fedavg,0.02226748145,7.86E-06,0.0001258049799
100,46,3,fedyogi,4.62E-03,2.73E-06,8.71E-05
100,46,5,fedyogi,0.02965434505,1.85E-05,0.0001251238188
100,46,10,fedavg,1.72E-02,4.46E-05,0.0001605658845
100,46,10,fedyogi,6.48E-02,4.23E-05,0.0001501373255
100,46,20,fedyogi,4.08E-02,9.52E-05,0.0002051898424
100,47,3,fedavg,2.23E-02,6.27E-06,0.0001258049799
100,47,3,fedyogi,4.62E-03,2.57E-06,8.71E-05
100,47,5,fedyogi,0.02965434505,1.62E-05,0.0001251238188
100,47,10,fedavg,1.72E-02,3.80E-05,0.0001605658845
100,47,10,fedyogi,6.28E-02,3.95E-05,0.0001501988409
100,47,20,fedyogi,4.08E-02,8.78E-05,0.0002051898424
