,data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
293,100,29,10,fedavg,0.0171805496442688,2.2982270617222226e-05,0.00016056588452587666
294,100,29,10,fedyogi,0.05733384167222082,2.249498111409524e-05,0.00015036570164781484
295,100,29,20,fedadam,0.0257168515389566,5.1433637648472225e-05,0.00020573481231165282
296,100,29,20,fedyogi,0.04083277863272631,5.1201619715992064e-05,0.00020518984237550904
297,100,30,3,fedadam,0.0138436746614891,5.477843358055556e-06,0.00011731927679228051
298,100,30,3,fedavg,0.0222674814497875,4.690847057333333e-06,0.00012580497994230227
299,100,30,3,fedyogi,0.00461752938317,1.6400557307407406e-06,8.71231959088679e-05
300,100,30,5,fedadam,0.045957921507381226,1.3730050633015874e-05,0.00012346156559574258
301,100,30,5,fedyogi,0.0296543450451,1.3752329937187502e-05,0.0001251238187556962
302,100,30,10,fedadam,0.02971282111885844,3.5699308106746034e-05,0.0001513463642409946
303,100,30,10,fedavg,0.0171805496442688,3.833448480342593e-05,0.00016056588452587666
304,100,30,10,fedyogi,0.06596888296720355,3.641879956620098e-05,0.00015010068758725944
305,100,30,20,fedadam,0.0257168515389566,8.025787352993055e-05,0.00020573481231165282
306,100,30,20,fedyogi,0.04083277863272631,8.090259406154763e-05,0.00020518984237550904
307,100,31,3,fedadam,0.0138436746614891,1.182594613923611e-05,0.00011731927679228051
308,100,31,3,fedavg,0.0222674814497875,1.5628896826111113e-05,0.00012580497994230227
309,100,31,3,fedyogi,0.00461752938317,1.4517114232083333e-05,8.712319590886792e-05
310,100,31,5,fedadam,0.042157707779456266,2.6181527959409724e-05,0.00012378576425225974
311,100,31,5,fedyogi,0.0296543450451,2.4798960992138888e-05,0.0001251238187556962
312,100,31,10,fedadam,0.0289620346633213,5.751781482957071e-05,0.00015143993319150523
313,100,31,10,fedavg,0.0171805496442688,6.0219356863055566e-05,0.00016056588452587666
314,100,31,10,fedyogi,0.06931716428566623,5.8110865724515876e-05,0.00014999792703316653
315,100,31,20,fedadam,0.0257168515389566,0.00012445963425023149,0.00020573481231165282
316,100,31,20,fedyogi,0.0408327786327263,0.00012361316537222225,0.00020518984237550904
317,100,32,3,fedadam,0.0138436746614891,4.911388107361111e-06,0.00011731927679228051
318,100,32,3,fedavg,0.0222674814497875,7.2812694892708335e-06,0.00012580497994230227
319,100,32,3,fedyogi,0.00461752938317,7.126035283333333e-06,8.712319590886792e-05
320,100,32,5,fedadam,0.0411345733142457,1.5271360423541666e-05,0.00012387304850593745
321,100,32,5,fedyogi,0.029654345045100002,1.5360252864823232e-05,0.0001251238187556962
322,100,32,10,fedadam,0.02971282111885844,3.781330815545636e-05,0.0001513463642409946
323,100,32,10,fedavg,0.0171805496442688,4.292867492541667e-05,0.00016056588452587666
324,100,32,10,fedyogi,0.06572216750163261,3.8392408760944446e-05,0.00015010825941756103
325,100,32,20,fedadam,0.0257168515389566,8.784960441023149e-05,0.00020573481231165282
326,100,32,20,fedyogi,0.0408327786327263,8.500729573e-05,0.00020518984237550902
327,100,33,3,fedadam,0.0138436746614891,1.583293292484127e-05,0.0001173192767922805
328,100,33,3,fedavg,0.0222674814497875,1.6482386703935186e-05,0.00012580497994230227
329,100,33,3,fedyogi,0.00461752938317,5.787157560277778e-06,8.712319590886792e-05
330,100,33,5,fedadam,0.04141360998657585,3.184866475441919e-05,0.00012384924370947988
331,100,33,5,fedyogi,0.0296543450451,3.3617532489375e-05,0.0001251238187556962
332,100,33,10,fedadam,0.027045965063252547,7.085301911065973e-05,0.0001516787289506209
333,100,33,10,fedavg,0.0171805496442688,7.221433774412699e-05,0.00016056588452587666
334,100,33,10,fedyogi,0.06477509845637644,7.187250065519714e-05,0.0001501373254758155
335,100,33,20,fedadam,0.0257168515389566,0.00015192229939611112,0.00020573481231165282
336,100,33,20,fedyogi,0.0408327786327263,0.0001501804286637778,0.00020518984237550904
337,100,34,3,fedadam,0.0138436746614891,1.4329940777722222e-05,0.00011731927679228052
338,100,34,3,fedavg,0.0222674814497875,1.5245499216428574e-05,0.00012580497994230227
339,100,34,3,fedyogi,0.00461752938317,2.87074078e-06,8.712319590886792e-05
340,100,34,5,fedadam,0.04318084224466683,3.127902010224537e-05,0.00012369847999858203
341,100,34,5,fedyogi,0.0296543450451,2.9631351213111116e-05,0.0001251238187556962
342,100,34,10,fedadam,0.031724543801002834,6.721175434685898e-05,0.0001510956474377033
343,100,34,10,fedavg,0.0171805496442688,6.707119294152778e-05,0.00016056588452587666
344,100,34,10,fedyogi,0.06864704427109856,6.760008294822368e-05,0.00015001849337674885
345,100,34,20,fedadam,0.0257168515389566,0.0001430545209248611,0.00020573481231165282
346,100,34,20,fedyogi,0.0408327786327263,0.00014682783891005558,0.00020518984237550904
347,100,35,3,fedadam,0.0138436746614891,2.0114293364166666e-05,0.00011731927679228051
348,100,35,3,fedavg,0.0222674814497875,2.0982598392416665e-05,0.00012580497994230227
